"Metric","Value","Notes"
"Total NIST Controls Mapped","55","Unique NIST 800-53 controls with Azure Policy mappings"
"Total Azure Policies","238","Unique Azure policies mapped to NIST controls"
"Enforceable Policies","89","Policies with Deny, DeployIfNotExists, Modify, or Append effects"
"Enforcement Rate","37.4%","Percentage of policies in enforcement mode"
"AC Family Controls","14","92 policies, 48.9% enforceable"
"AU Family Controls","6","34 policies, 0% enforceable"
"CM Family Controls","6","24 policies, 50% enforceable"
"CP Family Controls","4","9 policies, 22.2% enforceable"
"IA Family Controls","6","23 policies, 65.2% enforceable"
"IR Family Controls","3","13 policies, 0% enforceable"
"RA Family Controls","1","19 policies, 0% enforceable"
"SC Family Controls","9","119 policies, 84.9% enforceable"
"SI Family Controls","6","37 policies, 0% enforceable"
